2024-06-16 11:55:55.324662: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.395874: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.467699: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.549918: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.632971: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.725859: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.817341: Error getting geo info for IP 40.126.35.85: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.892722: Error getting geo info for IP 40.126.16.167: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:55.967697: Error getting geo info for IP 104.18.35.28: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.051294: Error getting geo info for IP 172.64.146.15: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.129187: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.208976: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.298806: Error getting geo info for IP 172.64.150.28: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.384272: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.454810: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.529158: Error getting geo info for IP 172.64.150.28: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.601138: Error getting geo info for IP 101.37.225.65: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.678899: Error getting geo info for IP 221.178.3.126: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.764115: Error getting geo info for IP 221.178.3.126: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:56.854295: Error getting geo info for IP 221.178.63.12: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
